HS6_Code,Sector,Product_Category,Region,Product_Name,Month,Year,Quarter,Trade_Value_USD_1000,Shipping_Cost_USD_1000,Insurance_Cost_USD_1000,MFN_Tariff_Rate,Applied_Tariff_Rate,Duty_Savings_Percent,Net_Profit_Margin_Percent,FTA_Status,CBAM_Applicable,Carbon_Tax_Risk,Carbon_Intensity_Score,Market_Share_Percent
284541,Chemicals,Organic Chemicals,UAE,Organic Chemicals Batch 284541,March,2026,Q1,6279.66,331.08,68.48,8.59,0.0,8.59,5.54,Active,No,High,1.17,9.2
629399,Textiles & Apparel,Home Textiles,South Africa,Home Textiles Batch 629399,July,2024,Q3,2422.62,174.81,30.5,20.72,14.74,5.98,7.71,Active,No,Low,0.0,6.26
732321,Iron & Steel,Steel Tubes,ASEAN,Steel Tubes Batch 732321,February,2025,Q1,7875.66,538.91,96.85,34.66,29.17,5.49,14.12,Active,No,Low,0.0,1.6
908334,Pharmaceuticals,Surgical Equipment,USA,Surgical Equipment Batch 908334,January,2026,Q1,29276.63,725.7,214.54,12.98,9.29,3.69,6.72,Active,No,Low,0.0,8.27
715755,Gems & Jewellery,Silverware,UAE,Silverware Batch 715755,November,2025,Q4,2098.06,50.95,23.81,29.56,0.0,29.56,14.08,Active,No,High,0.9,6.95
299751,Chemicals,Industrial Gases,European Union,Industrial Gases Batch 299751,April,2024,Q2,2098.11,50.29,29.65,33.18,25.23,7.95,14.64,Active,Yes,Low,1.14,9.09
294327,Chemicals,Polymers,UAE,Polymers Batch 294327,December,2026,Q4,31850.85,1455.78,345.11,23.86,0.0,23.86,11.15,Active,No,High,2.6,1.82
629030,Textiles & Apparel,Cotton Garments,ASEAN,Cotton Garments Batch 629030,October,2024,Q4,9425.29,453.2,70.82,18.47,15.48,2.99,14.4,Active,No,High,3.43,2.24
875324,Machinery & Electronics,Industrial Pumps,Australia,Industrial Pumps Batch 875324,July,2024,Q3,1474.08,106.95,11.25,20.88,20.49,0.39,13.51,Active,No,High,2.59,2.09
292957,Chemicals,Agrochemicals,UK,Agrochemicals Batch 292957,September,2026,Q3,6726.7,331.74,41.16,37.15,0.0,37.15,11.17,Active,No,Low,0.0,4.46
722072,Iron & Steel,Stainless Steel,USA,Stainless Steel Batch 722072,September,2024,Q3,1487.53,78.82,11.38,9.49,7.5,1.99,19.83,Active,No,Low,0.0,17.37
874961,Machinery & Electronics,Auto Components,Japan,Auto Components Batch 874961,August,2026,Q3,1482.38,35.34,7.72,20.8,14.54,6.26,14.42,Active,No,High,0.14,12.8
611452,Textiles & Apparel,Synthetic Fabrics,USA,Synthetic Fabrics Batch 611452,September,2024,Q3,4285.29,224.35,52.42,14.75,11.71,3.04,20.0,Active,No,Low,0.0,4.53
082222,Agriculture & Food,Marine Products,ASEAN,Marine Products Batch 082222,June,2025,Q2,169.03,3.93,1.95,19.39,18.33,1.06,15.99,Active,No,High,2.07,6.24
713434,Gems & Jewellery,Cut Diamonds,South Africa,Cut Diamonds Batch 713434,August,2024,Q3,224.22,7.85,3.19,19.77,14.06,5.71,12.53,Active,No,High,0.35,17.99
714031,Gems & Jewellery,Cut Diamonds,ASEAN,Cut Diamonds Batch 714031,August,2025,Q3,1282.5,30.16,11.27,12.48,9.49,2.99,21.75,Active,No,Low,0.0,16.69
716499,Gems & Jewellery,Precious Stones,South Africa,Precious Stones Batch 716499,November,2026,Q4,652.46,21.57,3.64,22.03,14.89,7.14,17.51,Active,No,High,3.77,1.22
